Scientific name,Common name,TP50,TP25,TP75
Dissostichus eleginoides,Patagonian toothfish,7,5,10
Dissostichus mawsoni,Antarctic toothfish,-1,-2,-1
Dorosoma cepedianum,American gizzard shad,20,16,24
Dosidicus gigas,Jumbo flying squid,26,24,28
Dussumieria acuta,Rainbow sardine,28,28,28
Dussumieria elopsoides,Slender rainbow sardine,28,27,28
Echinorhinus brucus,Bramble shark,26,23,28
Echinus esculentus,European edible sea urchin,11,9,13
Elagatis bipinnulata,Rainbow runner,27,26,28
Eledone cirrhosa,Horned octopus,18,16,20
Eleginops maclovinus,Patagonian blennie,8,8,9
Eleginus gracilis,Saffron cod,5,3,7
Eleginus navaga,Navaga,0,-1,2
Eleutheronema tetradactylum,Fourfinger threadfin,28,27,28
Elops lacerta,West African ladyfish,26,24,27
Elops saurus,Ladyfish,27,27,27
Emmelichthys nitidus,Redbait,26,24,28
Enchelyopus cimbrius,Fourbeard rockling,9,4,14
Engraulis anchoita,Argentine anchoita,15,12,19
Engraulis capensis,Cape anchovy,19,17,21
Engraulis encrasicolus,European anchovy,19,15,23
Engraulis japonicus,Japanese anchovy,23,19,26
Engraulis mordax,Californian anchovy,16,13,20
Engraulis ringens,Anchoveta,17,15,19
Ensis directus,Atlantic razor clam,11,8,13
Eopsetta jordani,Petrale sole,9,7,11
Epigonus telescopus,Bulls-eye,19,18,21
Epinephelus aeneus,White grouper,27,25,28
Epinephelus analogus,Spotted grouper,28,27,28
Epinephelus areolatus,Areolate grouper,28,27,28
Epinephelus chlorostigma,Brownspotted grouper,28,27,28
Epinephelus coioides,Orange-spotted grouper,27,26,28
Epinephelus fasciatus,Blacktip grouper,27,26,28
Epinephelus flavolimbatus,Yellowedge grouper,27,26,27
Epinephelus fuscoguttatus,Brown-marbled grouper,28,27,28
Epinephelus goreensis,Dungat grouper,26,25,27
Epinephelus guttatus,Red hind,26,25,27
Epinephelus marginatus,Dusky grouper,25,21,27
Epinephelus morio,Red grouper,27,25,28
Epinephelus morrhua,Comet grouper,28,27,28
Epinephelus multinotatus,White-blotched grouper,28,27,29
Epinephelus nigritus,Warsaw grouper,27,27,27
Epinephelus niveatus,Snowy grouper,26,25,28
Epinephelus polyphekadion,Camouflage grouper,27,26,29
Epinephelus striatus,Nassau grouper,27,26,27
Epinephelus summana,Summan grouper,26,25,28
Epinephelus tauvina,Greasy grouper,27,26,28
Erimacrus isenbeckii,Hair Crab,7,3,11
Ethmalosa fimbriata,Bonga shad,27,26,27
Ethmidium maculatum,Pacific menhaden,18,16,19
Etmopterus granulosus,Southern lanternshark,11,8,15
Etmopterus spinax,Velvet belly lantern shark,24,21,27
Etrumeus teres,Round herring,25,21,27
Etrumeus whiteheadi,Whiteheads round herring,19,17,21
Euphausia superba,Antarctic krill,-1,-2,-1
Euthynnus affinis,Kawakawa,28,27,28
Euthynnus alletteratus,Little tunny,23,20,26
Euthynnus lineatus,Black skipjack,28,27,28
Fistularia tabacaria,Cornet fish,25,23,27
Gadus macrocephalus,Pacific cod,7,5,11
Gadus morhua,Atlantic cod,6,3,9
Gadus ogac,Greenland cod,5,2,10
Galeichthys feliceps,White baggar,24,22,26
Galeocerdo cuvier,Tiger shark,26,22,28
Galeoides decadactylus,Lesser African threadfin,26,25,27
Galeorhinus galeus,Tope shark,18,16,20
Galeus melastomus,Blackmouth catshark,17,11,22
Genyonemus lineatus,White croaker,14,11,17
Genypterus blacodes,Pink cusk-eel,15,12,17
Genypterus capensis,Kingklip,21,19,23
Genypterus chilensis,Red cusk-eel,24,22,26
Genypterus maculatus,Black cusk-eel,19,19,19
Gerres nigri,Guinean striped mojarra,26,25,27
Gerres oblongus,Slender silverbiddy,28,27,28
Gerres oyena,Common silver-biddy,28,27,28
Geryon quinquedens,Red crab,23,17,26
Ginglymostoma cirratum,Nurse shark,27,26,28
Girella nigricans,Opaleye,22,19,25
Girella tricuspidata,Luderick,16,15,17
Glycymeris glycymeris,Dog cockle,12,9,15
Glyptocephalus cynoglossus,Witch,7,4,9
Glyptocephalus zachirus,Rex sole,7,4,10
Gnathanodon speciosus,Golden trevally,28,27,28
Gobionotothen acuta,Triangular notothen,3,2,4
Gobionotothen gibberifrons,Humped rockcod,3,0,6
Gobius niger,Black goby,12,7,17
Grammoplites suppositus,Spotfin flathead,27,26,28
Gymnosarda unicolor,Dogtooth tuna,27,27,28
Gymnura altavela,Spiny butterfly ray,27,26,28
Halargyreus johnsonii,Slender codling,19,15,23
Haliotis gigantea,Giant abalone,18,16,20
Haliotis midae,Perlemoen abalone,25,22,28
Haliotis rubra,Blacklip abalone,15,15,17
Haliotis tuberculata,Tuberculate abalone,19,17,20
Haliporoides diomedeae,Chilean nylon shrimp,22,19,25
Haliporoides sibogae,Jack-knife shrimp,26,25,28
Haliporoides triarthrus,Knife shrimp,21,19,24
Halobatrachus didactylus,Lusitanian toadfish,22,18,26
Harpadon nehereus,Bombay duck,28,27,29
Helicolenus dactylopterus,Blackbelly rosefish,22,18,26
Hemiramphus brasiliensis,Ballyhoo,26,24,28
Herklotsichthys quadrimaculatus,Bluestripe herring,28,27,28
Heterocarpus reedi,Chilean nylon shrimp,14,14,15
Heterocarpus vicarius,Northern nylon shrimp,24,21,26
Hexanchus griseus,Bluntnose sixgill shark,24,20,27
Hilsa kelee,Kelee shad,28,28,28
Himantura gerrardi,Sharpnose stingray,24,20,27
Hippoglossoides elassodon,Flathead sole,7,4,11
Hippoglossoides platessoides,American plaice,7,4,10
Hippoglossus hippoglossus,Atlantic halibut,7,4,11
Hippoglossus stenolepis,Pacific halibut,6,4,8
Homarus americanus,American lobster,8,6,10
Homarus gammarus,European lobster,14,11,17
Hoplostethus atlanticus,Orange roughy,18,15,20
Hoplostethus mediterraneus mediterraneus,Mediterranean slimehead,22,17,26
Hydrolagus colliei,Spotted ratfish,15,9,18
Hydrolagus mirabilis,Large-eyed rabbitfish,22,17,25
Hydrolagus novaezealandiae,Dark ghost shark,15,13,16
Hyperoglyphe antarctica,Antarctic butterfish,14,11,16
Hyperoglyphe bythites,Black driftfish,27,26,27
Hypomesus pretiosus,Surf smelt,11,10,12
Hypoptychus dybowskii,Korean sandeel,7,5,10
Hyporhamphus sajori,Japanese halfbeak,27,26,29
Ibacus ciliatus,Sand Crayfish,22,20,25
Ilisha africana,West African ilisha,26,26,27
Ilisha elongata,Elongate ilisha,23,18,26
Illex argentinus,Argentine shortfin squid,10,8,12
Illex coindetii,Broadtail shortfin squid,22,18,25
Illex illecebrosus,Northern shortfin squid,17,12,21
Isacia conceptionis,Cabinza grunt,26,23,28
Istiophorus albicans,Atlantic sailfish,26,24,27
Istiophorus platypterus,Indo-Pacific sailfish,26,24,28
Isurus oxyrinchus,Shortfin mako,25,22,28
Isurus paucus,Longfin mako,27,26,28
Jasus edwardsii,Red rock lobster,15,14,17
Jasus frontalis,Juan Fernandez rock lobster,18,16,19
Jasus lalandii,Cape rock lobster,17,16,18
Jasus novaehollandiae,Southern rock lobster,15,15,15
Jasus verreauxi,Green rock lobster,16,14,18
Joturus pichardi,Bobo mullet,27,26,27
Kathetostoma giganteum,Giant stargazer,13,12,15
Katsuwonus pelamis,Skipjack tuna,26,24,27
Konosirus punctatus,Konoshiro gizzard shad,17,15,20
Kyphosus sectatrix,Bermuda sea chub,26,25,27
Labrus bergylta,Ballan wrasse,11,10,13
Lactarius lactarius,False trevally,28,27,28
Laemonema longipes,Longfin codling,7,5,11
Lamna nasus,Porbeagle,16,10,19
Lampanyctodes hectoris,Hectors lanternfish,18,16,19
Lampris guttatus,Opah,23,18,26
Larimichthys croceus,Large yellow croaker,23,20,25
Larimichthys polyactis,Yellow croaker,18,16,20
Lateolabrax japonicus,Japanese seaperch,26,24,28
Lates calcarifer,Barramundi,28,26,29
Leiostomus xanthurus,Spot croaker,23,20,26
Lepidocybium flavobrunneum,Escolar,26,24,28
Lepidonotothen larseni,Lepidonotothen larseni,1,-1,3
Lepidonotothen mizops,Toad notothen,4,3,5
Lepidonotothen nudifrons,Gaudy notothen,-1,-1,-1
Lepidonotothen squamifrons,Grey rockcod,1,0,3
Lepidoperca pulchella,Orange perch,16,15,17
Lepidopsetta bilineata,Rock sole,5,4,9
Lepidopus caudatus,Silver scabbardfish,24,19,27
Lepidorhombus boscii,Fourspotted megrim,14,9,19
Lepidorhombus whiffiagonis,Megrim,16,12,19
Lepidorhynchus denticulatus,Thorntooth grenadier,15,13,17
Lepidotrigla cavillone,Large-scaled gurnard,21,18,24
Lethrinus atlanticus,Atlantic emperor,27,26,27
Lethrinus borbonicus,Snubnose emperor,27,27,28
Lethrinus harak,Thumbprint emperor,28,27,29
Lethrinus lentjan,Pink ear emperor,28,27,28
Lethrinus mahsena,Sky emperor,28,27,28
Lethrinus microdon,Smalltooth emperor,28,27,28
Lethrinus nebulosus,Spangled emperor,27,26,28
Lethrinus obsoletus,Orange-striped emperor,28,27,28
Lethrinus xanthochilus,Yellowlip emperor,28,26,29
Leucoraja circularis,Sandy ray,8,5,12
Leucoraja erinacea,Little skate,12,10,13
Leucoraja fullonica,Shagreen ray,10,5,16
Leucoraja naevus,Cuckoo ray,17,11,22
Lichia amia,Leerfish,26,24,28
Limanda aspera,Yellowfin sole,7,4,12
Limanda ferruginea,Yellowtail flounder,7,6,9
Limanda limanda,Dab,10,9,12
Limulus polyphemus,Horseshoe crab,24,21,26
Liocarcinus depurator,Blue-leg swimcrab,15,12,18
Lithodes aequispina,Same-spine stone crab,7,5,9
Lithodes antarcticus,Southern king crab,9,8,11
Lithodes maia,Stone king crab,5,3,9
Lithognathus lithognathus,White steenbras,20,18,24
Lithognathus mormyrus,Striped seabream,24,20,27
Littorina littorea,Common periwinkle,9,7,12
Liza aurata,Golden grey mullet,16,13,19
Liza klunzingeri,Klunzingers mullet,27,26,27
Liza saliens,Leaping mullet,11,6,15
Lobotes surinamensis,Atlantic tripletail,27,25,28
Loligo forbesii,Veined Squid,25,21,27
Loligo gahi,Patagonian squid,11,8,14
Loligo opalescens,California market squid,15,13,18
Loligo pealeii,Longfin squid,21,11,25
Loligo vulgaris,Cape Hope squid,18,17,19
Lophius americanus,American angler,9,7,12
Lophius budegassa,Black-bellied angler,25,23,28
Lophius piscatorius,Angler,14,10,17
Lophius vaillanti,Shortspine African angler,25,23,27
Lophius vomerinus,Cape monk,21,19,25
Lopholatilus chamaeleonticeps,Great northern tilefish,25,22,28
Loxechinus albus,Chilean sea urchin,13,11,15
Lutjanus argentimaculatus,Mangrove red snapper,27,26,28
Lutjanus argentiventris,Yellow snapper,28,27,28
Lutjanus bohar,Two-spot red snapper,28,27,28
Lutjanus campechanus,Northern red snapper,24,21,27
Lutjanus gibbus,Humpback red snapper,28,27,28
Lutjanus johnii,Johns snapper,28,27,28
Lutjanus kasmira,Common bluestripe snapper,27,26,29
Lutjanus malabaricus,Malabar blood snapper,28,27,28
Lutjanus purpureus,Southern red snapper,27,27,27
Lutjanus quinquelineatus,Five-lined snapper,27,26,29
Lutjanus synagris,Lane snapper,27,25,28
Macrodon ancylodon,King weakfish,26,25,28
Macroramphosus scolopax,Longspine snipefish,26,23,28
Macrourus berglax,Onion-eye grenadier,6,2,9
Macrourus holotrachys,Bigeye grenadier,9,7,12
Macruronus magellanicus,Patagonian grenadier,9,8,11
Macruronus novaezelandiae,Blue grenadier,13,11,15
Mactra sachalinensis,Hen clam,18,12,22
Maja squinado,Spinous spider crab,20,17,23
Makaira indica,Black marlin,27,26,28
Makaira nigricans,Atlantic blue marlin,25,23,27
Mallotus villosus,Capelin,3,1,5
Mancopsetta maculata antarctica,Antarctic armless flounder,3,2,4
Martialia hyadesi,Sevenstar flying squid,13,11,15
Maurolicus muelleri,Pearlsides,22,16,26
Megabalanus psittacus,Giant barnacle,14,12,15
Megalaspis cordyla,Torpedo scad,28,27,28
Megalops atlanticus,Tarpon,26,25,27
Megalops cyprinoides,Indo-Pacific tarpon,28,28,29
Meganyctiphanes norvegica,Norwegian krill,7,3,11
Melanogrammus aeglefinus,Haddock,7,5,10
Mene maculata,Moonfish,28,27,28
Menidia menidia,Atlantic silverside,10,7,14
Menippe mercenaria,Black stone crab,24,22,26
Menticirrhus littoralis,Gulf kingcroaker,26,25,27
Menticirrhus saxatilis,Northern kingcroaker,26,24,28
Mercenaria mercenaria,Northern quahog,17,12,21
Meretrix lusoria,Japanese hard clam,17,15,19
Merlangius merlangus,Whiting,11,9,14
Merluccius angustimanus,Panama hake,24,22,26
Merluccius australis,Southern hake,11,9,13
Merluccius bilinearis,Silver hake,7,5,10
Merluccius capensis,Shallow-water Cape hake,17,17,18
Merluccius gayi gayi,South Pacific hake,14,13,15
Merluccius hubbsi,Argentine hake,14,10,19
Merluccius merluccius,European hake,18,15,20
Merluccius polli,Benguela hake,26,25,27
Merluccius productus,North Pacific hake,15,13,18
Merluccius senegalensis,Senegalese hake,21,20,22
Mesodesma donacium,Macha clam,17,15,19
Metanephrops andamanicus,Andaman lobster,28,28,28
Metanephrops challengeri,New Zealand lobster,14,13,16
Metanephrops mozambicus,Mozambique lobster,26,25,27
Metapenaeus endeavouri,Endeavour shrimp,27,26,28
Metapenaeus joyneri,Shiba shrimp,26,24,28
Metapenaeus monoceros,Speckled shrimp,27,26,29
Meuschenia scaber,Velvet leatherjacket,15,15,17
Microchirus variegatus,Thickback sole,17,10,22
Microcosmus sulcatus,Grooved sea squirt,18,17,19
Microgadus proximus,Pacific tomcod,7,4,10
Microgadus tomcod,Atlantic tomcod,9,6,11
Micromesistius australis,Southern blue whiting,9,7,11
Micromesistius poutassou,Blue whiting,15,10,19
Micropogonias furnieri,Whitemouth croaker,24,21,26
Micropogonias undulatus,Atlantic croaker,26,25,27
Microstomus kitt,Lemon sole,6,3,10
Microstomus pacificus,Dover sole,11,6,16
Miichthys miiuy,Mi-iuy croaker,23,22,24
Mobula mobular,Devil fish,19,15,23
Mola mola,Ocean sunfish,26,23,27
Molva dypterygia,Blue ling,11,5,17
Molva molva,Ling,14,10,17
Monotaxis grandoculis,Humpnose big-eye bream,28,27,28
Mora moro,Common mora,23,19,26
Morone americana,White perch,15,10,21
Morone saxatilis,Striped sea-bass,21,16,25
Mugil cephalus,Flathead mullet,27,25,28
Mugil liza,Liza,26,24,28
Mugil soiuy,So-iuy mullet,11,7,13
Mulloidichthys flavolineatus,Yellowstripe goatfish,27,26,29
Mullus argentinae,Argentine goatfish,20,17,23
Mullus barbatus,Red mullet,17,12,22
Mullus surmuletus,Striped red mullet,19,13,23
Muraena helena,Mediterranean moray,20,14,24
Muraenesox cinereus,Daggertooth pike conger,28,27,28
Muraenolepis microps,Smalleye moray cod,-1,-2,-1
Mustelus asterias,Starry smooth-hound,10,6,14
Mustelus henlei,Brown smooth-hound,27,26,28
Mustelus lenticulatus,Spotted estuary smooth-hound,15,13,16
Mustelus mustelus,Smooth-hound,26,23,28
Mustelus schmitti,Narrownose smooth-hound,13,12,16
Mya arenaria,Sand gaper,10,7,13
Mycteroperca bonaci,Black grouper,27,26,27
Mycteroperca microlepis,Gag,26,24,27
Mycteroperca phenax,Scamp,23,20,26
Mycteroperca venenosa,Yellowfin grouper,27,26,27
Mycteroperca xenarcha,Broomtail grouper,28,27,28
Myliobatis aquila,Common eagle ray,26,23,28
Mytilus chilensis,Chilean mussel,12,9,14
Mytilus coruscus,Korean mussel,16,15,18
Mytilus edulis,Blue mussel,8,4,11
Mytilus galloprovincialis,Mediterranean mussel,17,14,19
Mytilus planulatus,Australian mussel,26,23,28
Mytilus platensis,River Plata mussel,14,13,14
Myxine glutinosa,Hagfish,11,6,17
